mms_id,status,ns0_count,error_code,notes
991011551114704641,Fetchable - Clean,0,,No ns0: fields found - record is clean
991011551114804641,Fetchable - Clean,0,,No ns0: fields found - record is clean
991011551114904641,Fetchable - Clean,0,,No ns0: fields found - record is clean
991011551115004641,Fetchable - Clean,0,,No ns0: fields found - record is clean
991011551115104641,Fetchable - Clean,0,,No ns0: fields found - record is clean
991011551115204641,Fetchable - Clean,0,,No ns0: fields found - record is clean
991011551115304641,Fetchable - Clean,0,,No ns0: fields found - record is clean
991011551115404641,Fetchable - Clean,0,,No ns0: fields found - record is clean
991011551115504641,Fetchable - Clean,0,,No ns0: fields found - record is clean
991011551115604641,Fetchable - Clean,0,,No ns0: fields found - record is clean
991011551115704641,Fetchable - Clean,0,,No ns0: fields found - record is clean
991011551115804641,Fetchable - Clean,0,,No ns0: fields found - record is clean
991011551115904641,Fetchable - Clean,0,,No ns0: fields found - record is clean
